City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,coahuayana de hidalgo,18.7,-103.6583,79.03,61,87,5.01,MX,1741044896
83,kokoda,-8.8785,147.7407,78.08,94,100,4.54,PG,1741044900
84,awjilah,29.1081,21.2869,59.58,37,0,8.52,LY,1741044905
85,yeppoon,-23.1333,150.7333,81.84,68,0,7.85,AU,1741044909
86,kodinsk,58.6881,99.1844,9.16,98,96,2.71,RU,1741044913
87,wailua homesteads,22.0669,-159.378,81.39,67,20,18.41,US,1741044917
88,newman,37.3138,-121.0208,64.06,50,32,4.0,US,1741044921
89,erenhot,43.6475,111.9767,27.99,85,93,6.91,CN,1741044925
90,tindouf,27.6711,-8.1474,63.05,42,1,25.32,DZ,1741044929
91,egilsstadir,65.2653,-14.3948,31.91,93,100,2.3,IS,1741044933
92,freetown,8.484,-13.2299,82.11,74,40,9.22,SL,1741044938
93,bezopasnoye,45.6483,41.936,30.34,94,94,9.75,RU,1741044942
94,les anglais,18.3054,-74.2197,74.14,82,82,2.33,HT,1741044946
95,saint-pierre,-21.3393,55.4781,80.28,74,20,5.75,RE,1741044950
96,port mathurin,-19.6833,63.4167,81.05,75,24,14.05,MU,1741044954
97,ha'il,27.5219,41.6907,57.22,23,0,4.61,SA,1741044958
98,anadyr,64.75,177.4833,-14.3,75,20,15.01,RU,1741044962
99,uturoa,-16.7333,-151.4333,82.35,73,84,4.52,PF,1741044966
100,carnarvon,-24.8667,113.6333,79.41,66,92,27.29,AU,1741044970
101,magadan,59.5667,150.8,-3.87,94,99,9.69,RU,1741044975
102,klyuchi,52.2667,79.1667,9.46,97,100,5.1,RU,1741044979
103,st. john's,47.5649,-52.7093,24.98,70,100,6.91,CA,1741044943
104,alice town,25.7167,-79.3,72.57,67,75,17.4,BS,1741044987
105,badger,64.8,-147.5333,35.47,55,40,3.44,US,1741044991
106,colonia,50.9333,6.95,36.97,77,98,2.24,DE,1741044911
107,udachny,66.4167,112.4,-45.09,100,86,2.24,RU,1741045000
108,katsuren-haebaru,26.3369,127.8719,74.08,88,75,12.66,JP,1741045004
109,aswan,24.0934,32.907,65.77,20,70,10.71,EG,1741045009
110,lashio,22.9333,97.75,56.26,57,30,0.94,MM,1741045013
111,kailua-kona,19.6406,-155.9956,82.56,71,20,12.66,US,1741044920
112,imbituba,-28.24,-48.6703,73.81,89,1,14.18,BR,1741045021
113,vadso,70.0744,29.7487,32.16,86,75,9.22,NO,1741045025
114,zizur mayor,42.7879,-1.6907,46.45,100,75,2.3,ES,1741045029
115,mogocha,53.7333,119.7667,-2.47,95,27,1.34,RU,1741045034
116,candelaria,13.9311,121.4233,77.67,87,82,6.4,PH,1741045038
117,coquimbo,-29.9533,-71.3436,65.93,82,0,9.22,CL,1741045042
118,mocimboa,-11.3167,40.35,73.2,98,95,2.55,MZ,1741045046
119,port saint john's,-31.6229,29.5448,74.1,89,65,11.63,ZA,1741044843
120,tiksi,71.6872,128.8694,-29.36,100,46,1.83,RU,1741045054
121,bandarbeyla,9.4942,50.8122,76.57,75,8,14.5,SO,1741045059
122,nuku'alofa,-21.1333,-175.2,84.54,79,20,18.41,TO,1741045063
123,wewak,-3.5534,143.6268,82.81,82,46,7.23,PG,1741045067
124,jamestown,42.097,-79.2353,33.44,47,0,9.22,US,1741044848
125,gadzhiyevo,69.2551,33.3362,27.36,91,100,11.34,RU,1741045075
126,joshimath,30.5667,79.5667,35.62,93,97,0.51,IN,1741045079
127,dadhar,29.4753,67.6514,56.46,14,0,8.43,PK,1741045083
128,lompoc,34.6391,-120.4579,58.51,65,0,26.46,US,1741045088
129,vorgashor,67.5833,63.95,15.64,96,100,8.88,RU,1741045092
130,college,64.8569,-147.8028,40.98,55,40,5.75,US,1741045096
131,cidreira,-30.1811,-50.2056,77.02,87,0,16.67,BR,1741044935
132,tamanrasset,22.785,5.5228,62.51,11,0,3.44,DZ,1741045104
133,waingapu,-9.6567,120.2641,82.56,79,15,7.25,ID,1741045108
134,porto empedocle,37.2934,13.5264,54.25,86,85,4.63,IT,1741045112
135,kerikeri,-35.2268,173.9474,72.23,52,100,2.01,NZ,1741045116
136,nova vicosa,-17.8919,-39.3719,77.09,87,2,8.05,BR,1741045120
137,pangoa,-12.1167,-73.0,69.69,99,100,2.04,PE,1741045125
138,mossel bay,-34.1831,22.146,75.06,69,24,2.77,ZA,1741045129
139,amahai,-3.3333,128.9167,81.21,80,92,1.39,ID,1741045133
140,krasnoarmeyskoye,52.7182,50.0322,22.68,95,100,10.16,RU,1741045137
141,filingue,14.3521,3.3168,82.35,16,45,9.26,NE,1741045141
142,oranjemund,-28.55,16.4333,64.74,84,88,5.35,NA,1741045145
143,mana,5.6592,-53.7767,76.96,85,27,8.7,GF,1741045154
144,hasaki,35.7333,140.8333,44.6,57,97,19.22,JP,1741045158
145,margaret river,-33.95,115.0667,64.35,51,54,11.77,AU,1741045162
146,vila franca do campo,37.7167,-25.4333,55.81,82,7,5.7,PT,1741045166
147,kapuskasing,49.4169,-82.4331,30.29,93,75,5.75,CA,1741045086
148,mek'ele,13.4967,39.4753,62.98,41,70,2.84,ET,1741045178
149,ta`u,-14.2336,-169.5144,82.42,76,100,13.51,AS,1741045182
150,saint croix,17.7397,-64.7388,77.45,84,0,4.61,VI,1741045105
151,lebu,-37.6167,-73.65,58.91,87,13,1.72,CL,1741045191
152,manavalakurichi,8.1333,77.3,75.85,92,92,4.45,IN,1741045195
153,yuzhno-kurilsk,44.0306,145.8556,21.61,67,83,7.7,RU,1741045199
154,tamale,9.4008,-0.8393,92.88,25,57,1.97,GH,1741045203
155,radhanpur,23.8333,71.6,70.7,35,79,14.63,IN,1741045211
156,afaahiti,-17.75,-149.2833,81.1,74,85,2.44,PF,1741045215
157,tagiura,32.8817,13.3506,59.04,80,2,10.07,LY,1741045219
158,talnakh,69.4865,88.3972,-22.63,82,96,9.04,RU,1741045224
159,enewetak,11.3474,162.3373,80.37,74,10,19.28,MH,1741045228
160,hithadhoo,-0.6,73.0833,82.49,76,98,9.66,MV,1741045232
161,zaraza,9.3503,-65.3245,78.62,65,18,10.78,VE,1741045236
162,corner brook,48.9667,-57.9484,8.73,86,94,5.95,CA,1741045240
163,hammerfest,70.6634,23.6821,30.65,100,75,5.75,NO,1741045244
164,dhidhdhoo,6.8833,73.1,82.58,75,94,9.33,MV,1741045248
165,sitka,57.0531,-135.33,46.29,76,40,0.0,US,1741045252
166,nola,40.922,14.5329,48.02,71,0,4.29,IT,1741045005
167,yilan,24.757,121.753,70.81,86,100,5.61,TW,1741045261
168,barra de santo antonio,-9.4047,-35.5072,79.43,74,6,10.45,BR,1741045265
169,filipstad,59.7124,14.1683,38.64,83,100,14.58,SE,1741045269
170,itamaraca,-7.7478,-34.8256,78.66,83,17,10.49,BR,1741045273
171,ust-nera,64.5667,143.2,-13.31,99,100,5.97,RU,1741045277
172,aral,40.5156,81.2636,37.85,56,100,1.86,CN,1741045281
173,kyabe,9.4515,18.9449,87.04,17,39,7.58,TD,1741045285
174,fale old settlement,-9.3852,-171.2468,83.14,69,16,12.19,TK,1741045289
175,choix,26.7092,-108.3219,81.9,15,97,12.24,MX,1741045293
176,princeville,45.7668,-61.2985,15.51,80,75,8.05,CA,1741045280
177,mutuali,-14.8706,37.0044,69.17,85,100,1.83,MZ,1741045303
178,hailar,49.2,119.7,2.59,91,98,3.83,CN,1741045307
179,boulsa,12.6675,-0.5758,85.55,17,17,5.93,BF,1741045311
